Gene	modularity_class	N-cluster	gephi_modularity_class
RRAS	5	N5	10
RRAS2	5	N5	10
SCML4	5	N5	10
SGK3	5	N5	10
SIGLEC10	5	N5	10
SIPA1L1	5	N5	10
SLAMF1	5	N5	10
SNX9	5	N5	10
STARD5	5	N5	10
SYPL1	5	N5	10
TBC1D2B	5	N5	10
TCF7	5	N5	10
TFRC	5	N5	10
TMEM123	5	N5	10
TMEM154	5	N5	10
TREML2	5	N5	10
TSPAN33	5	N5	10
TTC9	5	N5	10
UBE2E2	5	N5	10
USP6NL	5	N5	10
VPS26B	5	N5	10
ZBTB20	5	N5	10
ABCD2	2	N2	11
AIM2	2	N2	11
AKAP11	2	N2	11
AMPD3	2	N2	11
ANKRD13A	2	N2	11
ANO6	2	N2	11
ANTXR2	2	N2	11
ARAP2	2	N2	11
ARHGDIB	2	N2	11
ARHGEF6	2	N2	11
ARPC5L	2	N2	11
ATF1	2	N2	11
ATP11A	2	N2	11
ATP2B1	2	N2	11
ATP6V0A2	2	N2	11
BANK1	2	N2	11
BCL7A	2	N2	11
BCL9L	2	N2	11
BIN2	2	N2	11
BRI3BP	2	N2	11
CA5B	2	N2	11
CAMK1D	2	N2	11
CARD8	2	N2	11
CARNS1	2	N2	11
CASP1	2	N2	11
CBR3	2	N2	11
CCDC91	2	N2	11
CCR6	2	N2	11
CD180	2	N2	11
CD1C	2	N2	11
CD22	2	N2	11
CD72	2	N2	11
CD79A	2	N2	11
CD82	2	N2	11
CDK17	2	N2	11
CIB1	2	N2	11
CKAP4	2	N2	11
CKLF	2	N2	11
CLIP2	2	N2	11
CNDP2	2	N2	11
CNNM4	2	N2	11
COTL1	2	N2	11
CR1	2	N2	11
CYBA	2	N2	11
CYBB	2	N2	11
DDAH2	2	N2	11
DENND2D	2	N2	11
DGKG	2	N2	11
DGKQ	2	N2	11
DOK2	2	N2	11
DPF3	2	N2	11
EEA1	2	N2	11
EML4	2	N2	11
FAM117B	2	N2	11
FAM129C	2	N2	11
FAM49A	2	N2	11
FES	2	N2	11
FGD2	2	N2	11
FGR	2	N2	11
FYN	2	N2	11
GAPT	2	N2	11
GLIPR2	2	N2	11
GLRX	2	N2	11
GLYATL2	2	N2	11
GNB4	2	N2	11
GNG7	2	N2	11
GOLGA3	2	N2	11
GPD1L	2	N2	11
GPR18	2	N2	11
GPR183	2	N2	11
GRAMD4	2	N2	11
GRAP	2	N2	11
GRAP2	2	N2	11
GRK6	2	N2	11
HABP2	2	N2	11
HCK	2	N2	11
HIP1R	2	N2	11
HOMER3	2	N2	11
IFI30	2	N2	11
IL10RB	2	N2	11
INF2	2	N2	11
